"","respondent","selected","distance","community","affordable","height","site","units","tenant","own","city_interest","prop_i_ban_dummy","supply_dummy"
"346","R_1jfi36EbcZsf9pH",0,"1/2 mile (10 minute walk)","No opinion","None of the units","6 stories","Empty building","48 units","Rent",1,0.1,1,0
"347","R_1jfi36EbcZsf9pH",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","2 stories","Empty building","48 units","Rent",1,0.1,1,0
"348","R_1jfi36EbcZsf9pH",0,"1/8 mile (2 minute walk)","Oppose the building","All of the units","3 stories","Empty building","12 units","Own",1,0.1,1,0
"349","R_1jfi36EbcZsf9pH",1,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Empty building","48 units","Rent",1,0.1,1,0
"350","R_1jfi36EbcZsf9pH",0,"1/8 mile (2 minute walk)","Support the building","None of the units","12 stories","Historically-designated building","12 units","Own",1,0.1,1,0
"351","R_1jfi36EbcZsf9pH",1,"1/2 mile (10 minute walk)","Oppose the building","All of the units","3 stories","Open field","12 units","Own",1,0.1,1,0
"352","R_1jfi36EbcZsf9pH",0,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","2 stories","Historically-designated building","24 units","Own",1,0.1,1,0
"353","R_1jfi36EbcZsf9pH",1,"1/2 mile (10 minute walk)","No opinion","None of the units","2 stories","Empty building","96 units","Rent",1,0.1,1,0
"354","R_1jfi36EbcZsf9pH",1,"1 mile (20 minute walk)","Oppose the building","Half of the units","2 stories","Empty building","96 units","Rent",1,0.1,1,0
"355","R_1FaG8dNckQ6RAlP",1,"2 miles (40 minute walk)","No opinion","All of the units","6 stories","Empty building","12 units","Rent",1,-0.15,0,0
"356","R_1FaG8dNckQ6RAlP",0,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","3 stories","Parking lot","24 units","Rent",1,-0.15,0,0
"357","R_1FaG8dNckQ6RAlP",0,"1 mile (20 minute walk)","Oppose the building","None of the units","12 stories","Open field","12 units","Own",1,-0.15,0,0
"358","R_1FaG8dNckQ6RAlP",1,"2 miles (40 minute walk)","Oppose the building","Half of the units","3 stories","Parking lot","12 units","Own",1,-0.15,0,0
"359","R_1FaG8dNckQ6RAlP",0,"1/2 mile (10 minute walk)","No opinion","None of the units","3 stories","Open field","96 units","Own",1,-0.15,0,0
"360","R_1FaG8dNckQ6RAlP",1,"1/2 mile (10 minute walk)","No opinion","None of the units","6 stories","Historically-designated building","24 units","Own",1,-0.15,0,0
"361","R_1FaG8dNckQ6RAlP",1,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Open field","12 units","Own",1,-0.15,0,0
"362","R_1FaG8dNckQ6RAlP",0,"1 mile (20 minute walk)","Support the building","Half of the units","2 stories","Parking lot","48 units","Own",1,-0.15,0,0
"363","R_1FaG8dNckQ6RAlP",1,"2 miles (40 minute walk)","No opinion","Half of the units","2 stories","Empty building","96 units","Own",1,-0.15,0,0
"364","R_1FaG8dNckQ6RAlP",0,"1 mile (20 minute walk)","Oppose the building","None of the units","12 stories","Parking lot","12 units","Rent",1,-0.15,0,0
"365","R_3ps6QaJKJnjViUv",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","2 stories","Parking lot","48 units","Rent",0,-0.15,0,1
"366","R_3ps6QaJKJnjViUv",0,"1 mile (20 minute walk)","Support the building","Half of the units","12 stories","Parking lot","48 units","Own",0,-0.15,0,1
"367","R_3ps6QaJKJnjViUv",1,"1/8 mile (2 minute walk)","Support the building","One-quarter of the units","3 stories","Empty building","48 units","Rent",0,-0.15,0,1
"368","R_3ps6QaJKJnjViUv",0,"1/2 mile (10 minute walk)","No opinion","Half of the units","6 stories","Empty building","48 units","Own",0,-0.15,0,1
"369","R_3ps6QaJKJnjViUv",1,"1 mile (20 minute walk)","Support the building","All of the units","3 stories","Empty building","48 units","Rent",0,-0.15,0,1
"370","R_3ps6QaJKJnjViUv",0,"1/2 mile (10 minute walk)","No opinion","None of the units","2 stories","Open field","96 units","Rent",0,-0.15,0,1
"371","R_3ps6QaJKJnjViUv",1,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","12 stories","Open field","96 units","Rent",0,-0.15,0,1
"372","R_3ps6QaJKJnjViUv",1,"2 miles (40 minute walk)","No opinion","All of the units","12 stories","Parking lot","96 units","Rent",0,-0.15,0,1
"373","R_3ps6QaJKJnjViUv",0,"1 mile (20 minute walk)","Support the building","Half of the units","6 stories","Historically-designated building","24 units","Rent",0,-0.15,0,1
"374","R_3ps6QaJKJnjViUv",0,"1 mile (20 minute walk)","No opinion","None of the units","12 stories","Open field","48 units","Own",0,-0.15,0,1
"375","R_afrEjALZh0LfCLv",0,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Historically-designated building","12 units","Own",0,-0.15,0,NA
"376","R_afrEjALZh0LfCLv",0,"2 miles (40 minute walk)","Support the building","Half of the units","3 stories","Empty building","12 units","Own",0,-0.15,0,NA
"377","R_afrEjALZh0LfCLv",0,"1 mile (20 minute walk)","Support the building","One-quarter of the units","6 stories","Empty building","12 units","Rent",0,-0.15,0,NA
"378","R_afrEjALZh0LfCLv",1,"2 miles (40 minute walk)","Support the building","All of the units","3 stories","Historically-designated building","48 units","Own",0,-0.15,0,NA
"379","R_afrEjALZh0LfCLv",0,"1 mile (20 minute walk)","Support the building","None of the units","2 stories","Historically-designated building","48 units","Own",0,-0.15,0,NA
"380","R_afrEjALZh0LfCLv",0,"2 miles (40 minute walk)","Support the building","All of the units","2 stories","Historically-designated building","24 units","Own",0,-0.15,0,NA
"381","R_afrEjALZh0LfCLv",1,"1 mile (20 minute walk)","Support the building","All of the units","2 stories","Parking lot","24 units","Own",0,-0.15,0,NA
"382","R_afrEjALZh0LfCLv",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","2 stories","Historically-designated building","96 units","Rent",0,-0.15,0,NA
"383","R_afrEjALZh0LfCLv",1,"1 mile (20 minute walk)","Oppose the building","All of the units","2 stories","Open field","12 units","Own",0,-0.15,0,NA
"384","R_afrEjALZh0LfCLv",1,"1/2 mile (10 minute walk)","Oppose the building","None of the units","12 stories","Open field","96 units","Own",0,-0.15,0,NA
"385","R_2zxcdM5GC6qMAHv",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","3 stories","Open field","12 units","Rent",0,-0.15,1,0
"386","R_2zxcdM5GC6qMAHv",0,"2 miles (40 minute walk)","Oppose the building","None of the units","3 stories","Historically-designated building","96 units","Own",0,-0.15,1,0
"387","R_2zxcdM5GC6qMAHv",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","3 stories","Historically-designated building","48 units","Rent",0,-0.15,1,0
"388","R_2zxcdM5GC6qMAHv",1,"1 mile (20 minute walk)","Oppose the building","All of the units","12 stories","Parking lot","24 units","Own",0,-0.15,1,0
"389","R_2zxcdM5GC6qMAHv",1,"2 miles (40 minute walk)","Support the building","One-quarter of the units","12 stories","Historically-designated building","12 units","Rent",0,-0.15,1,0
"390","R_2zxcdM5GC6qMAHv",0,"1 mile (20 minute walk)","Oppose the building","Half of the units","2 stories","Historically-designated building","12 units","Rent",0,-0.15,1,0
"391","R_2zxcdM5GC6qMAHv",0,"1 mile (20 minute walk)","No opinion","All of the units","6 stories","Parking lot","12 units","Rent",0,-0.15,1,0
"392","R_2zxcdM5GC6qMAHv",1,"1/2 mile (10 minute walk)","No opinion","Half of the units","12 stories","Parking lot","96 units","Own",0,-0.15,1,0
"393","R_2zxcdM5GC6qMAHv",0,"1 mile (20 minute walk)","No opinion","One-quarter of the units","2 stories","Historically-designated building","12 units","Own",0,-0.15,1,0
"394","R_2zxcdM5GC6qMAHv",1,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","3 stories","Open field","96 units","Own",0,-0.15,1,0
"395","R_3lK7Sizo0sfP1Wp",0,"2 miles (40 minute walk)","No opinion","All of the units","3 stories","Historically-designated building","24 units","Rent",0,-0.15,0,1
"396","R_3lK7Sizo0sfP1Wp",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","3 stories","Parking lot","48 units","Own",0,-0.15,0,1
"397","R_3lK7Sizo0sfP1Wp",1,"1 mile (20 minute walk)","Support the building","Half of the units","6 stories","Historically-designated building","24 units","Rent",0,-0.15,0,1
"398","R_3lK7Sizo0sfP1Wp",0,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","2 stories","Open field","24 units","Rent",0,-0.15,0,1
"399","R_3lK7Sizo0sfP1Wp",0,"2 miles (40 minute walk)","Oppose the building","None of the units","2 stories","Open field","24 units","Own",0,-0.15,0,1
"400","R_3lK7Sizo0sfP1Wp",1,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","12 stories","Historically-designated building","96 units","Rent",0,-0.15,0,1
"401","R_3lK7Sizo0sfP1Wp",0,"2 miles (40 minute walk)","Oppose the building","Half of the units","3 stories","Open field","24 units","Own",0,-0.15,0,1
"402","R_3lK7Sizo0sfP1Wp",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","2 stories","Open field","12 units","Rent",0,-0.15,0,1
"403","R_3lK7Sizo0sfP1Wp",0,"1/8 mile (2 minute walk)","Oppose the building","One-quarter of the units","6 stories","Open field","12 units","Own",0,-0.15,0,1
"404","R_3lK7Sizo0sfP1Wp",1,"1/2 mile (10 minute walk)","No opinion","All of the units","12 stories","Historically-designated building","12 units","Own",0,-0.15,0,1
"405","R_vlrSdw0a9P5rTS9",0,"1/8 mile (2 minute walk)","Support the building","Half of the units","6 stories","Empty building","12 units","Own",0,-0.15,1,0
"406","R_vlrSdw0a9P5rTS9",1,"1 mile (20 minute walk)","Support the building","Half of the units","3 stories","Open field","12 units","Rent",0,-0.15,1,0
"407","R_vlrSdw0a9P5rTS9",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","3 stories","Historically-designated building","48 units","Own",0,-0.15,1,0
"408","R_vlrSdw0a9P5rTS9",0,"2 miles (40 minute walk)","No opinion","One-quarter of the units","6 stories","Historically-designated building","48 units","Rent",0,-0.15,1,0
"409","R_vlrSdw0a9P5rTS9",1,"1 mile (20 minute walk)","No opinion","All of the units","6 stories","Historically-designated building","96 units","Own",0,-0.15,1,0
"410","R_vlrSdw0a9P5rTS9",0,"1/2 mile (10 minute walk)","Support the building","None of the units","2 stories","Parking lot","24 units","Own",0,-0.15,1,0
"411","R_vlrSdw0a9P5rTS9",1,"1 mile (20 minute walk)","Oppose the building","Half of the units","2 stories","Historically-designated building","24 units","Rent",0,-0.15,1,0
"412","R_vlrSdw0a9P5rTS9",1,"2 miles (40 minute walk)","Oppose the building","All of the units","3 stories","Open field","48 units","Rent",0,-0.15,1,0
"413","R_vlrSdw0a9P5rTS9",0,"2 miles (40 minute walk)","Oppose the building","All of the units","12 stories","Open field","24 units","Own",0,-0.15,1,0
"414","R_vlrSdw0a9P5rTS9",1,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","3 stories","Open field","96 units","Own",0,-0.15,1,0
"415","R_3ncNIyhxwt3nOfT",0,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","3 stories","Parking lot","12 units","Own",1,-0.1,1,0
"416","R_3ncNIyhxwt3nOfT",0,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","12 stories","Empty building","12 units","Rent",1,-0.1,1,0
"417","R_3ncNIyhxwt3nOfT",1,"1 mile (20 minute walk)","No opinion","None of the units","2 stories","Parking lot","96 units","Rent",1,-0.1,1,0
"418","R_3ncNIyhxwt3nOfT",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","6 stories","Parking lot","12 units","Rent",1,-0.1,1,0
"419","R_3ncNIyhxwt3nOfT",1,"2 miles (40 minute walk)","No opinion","All of the units","6 stories","Open field","12 units","Rent",1,-0.1,1,0
"420","R_3ncNIyhxwt3nOfT",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","2 stories","Empty building","12 units","Rent",1,-0.1,1,0
"421","R_3ncNIyhxwt3nOfT",0,"1/2 mile (10 minute walk)","Support the building","Half of the units","12 stories","Parking lot","12 units","Own",1,-0.1,1,0
"422","R_3ncNIyhxwt3nOfT",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","6 stories","Open field","12 units","Rent",1,-0.1,1,0
"423","R_3ncNIyhxwt3nOfT",0,"1 mile (20 minute walk)","No opinion","None of the units","6 stories","Historically-designated building","48 units","Rent",1,-0.1,1,0
"424","R_3ncNIyhxwt3nOfT",1,"1/2 mile (10 minute walk)","Oppose the building","All of the units","2 stories","Parking lot","24 units","Rent",1,-0.1,1,0
"425","R_wOkfkN3TqeKfGoN",0,"2 miles (40 minute walk)","No opinion","None of the units","6 stories","Historically-designated building","24 units","Own",0,-0.15,1,NA
"426","R_wOkfkN3TqeKfGoN",1,"1/8 mile (2 minute walk)","Oppose the building","All of the units","2 stories","Historically-designated building","48 units","Own",0,-0.15,1,NA
"427","R_wOkfkN3TqeKfGoN",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","2 stories","Empty building","12 units","Own",0,-0.15,1,NA
"428","R_wOkfkN3TqeKfGoN",1,"1 mile (20 minute walk)","No opinion","Half of the units","6 stories","Historically-designated building","48 units","Own",0,-0.15,1,NA
"429","R_wOkfkN3TqeKfGoN",1,"1 mile (20 minute walk)","Support the building","Half of the units","6 stories","Open field","48 units","Own",0,-0.15,1,NA
"430","R_wOkfkN3TqeKfGoN",0,"2 miles (40 minute walk)","Oppose the building","Half of the units","12 stories","Historically-designated building","12 units","Own",0,-0.15,1,NA
"431","R_wOkfkN3TqeKfGoN",1,"1/2 mile (10 minute walk)","Support the building","Half of the units","2 stories","Historically-designated building","12 units","Own",0,-0.15,1,NA
"432","R_wOkfkN3TqeKfGoN",0,"1 mile (20 minute walk)","Support the building","One-quarter of the units","12 stories","Historically-designated building","96 units","Own",0,-0.15,1,NA
"433","R_wOkfkN3TqeKfGoN",1,"2 miles (40 minute walk)","No opinion","One-quarter of the units","3 stories","Parking lot","12 units","Own",0,-0.15,1,NA
"434","R_wOkfkN3TqeKfGoN",0,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","2 stories","Parking lot","48 units","Rent",0,-0.15,1,NA
"435","R_20NaroRy1o8IPvp",1,"2 miles (40 minute walk)","No opinion","None of the units","12 stories","Parking lot","24 units","Rent",0,-0.1,0,1
"436","R_20NaroRy1o8IPvp",0,"1/2 mile (10 minute walk)","No opinion","None of the units","6 stories","Parking lot","12 units","Own",0,-0.1,0,1
"437","R_20NaroRy1o8IPvp",1,"1/8 mile (2 minute walk)","No opinion","Half of the units","12 stories","Parking lot","48 units","Own",0,-0.1,0,1
"438","R_20NaroRy1o8IPvp",0,"1 mile (20 minute walk)","Support the building","Half of the units","2 stories","Historically-designated building","24 units","Own",0,-0.1,0,1
"439","R_20NaroRy1o8IPvp",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","2 stories","Parking lot","12 units","Own",0,-0.1,0,1
"440","R_20NaroRy1o8IPvp",1,"2 miles (40 minute walk)","Support the building","None of the units","12 stories","Open field","96 units","Own",0,-0.1,0,1
"441","R_20NaroRy1o8IPvp",0,"2 miles (40 minute walk)","No opinion","None of the units","3 stories","Open field","24 units","Own",0,-0.1,0,1
"442","R_20NaroRy1o8IPvp",1,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","3 stories","Open field","12 units","Own",0,-0.1,0,1
"443","R_20NaroRy1o8IPvp",0,"2 miles (40 minute walk)","Oppose the building","None of the units","6 stories","Open field","48 units","Rent",0,-0.1,0,1
"444","R_20NaroRy1o8IPvp",1,"1/8 mile (2 minute walk)","Support the building","None of the units","2 stories","Open field","96 units","Rent",0,-0.1,0,1
"445","R_1KkF1sFe4RnyeHP",0,"2 miles (40 minute walk)","Oppose the building","None of the units","12 stories","Open field","24 units","Rent",0,-0.15,1,NA
"446","R_1KkF1sFe4RnyeHP",1,"1 mile (20 minute walk)","Support the building","All of the units","12 stories","Open field","12 units","Own",0,-0.15,1,NA
"447","R_1KkF1sFe4RnyeHP",1,"1 mile (20 minute walk)","Support the building","All of the units","2 stories","Historically-designated building","12 units","Rent",0,-0.15,1,NA
"448","R_1KkF1sFe4RnyeHP",0,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Open field","48 units","Rent",0,-0.15,1,NA
"449","R_1KkF1sFe4RnyeHP",1,"1/2 mile (10 minute walk)","No opinion","All of the units","6 stories","Open field","96 units","Rent",0,-0.15,1,NA
"450","R_1KkF1sFe4RnyeHP",0,"1/2 mile (10 minute walk)","No opinion","None of the units","2 stories","Parking lot","24 units","Own",0,-0.15,1,NA
"451","R_1KkF1sFe4RnyeHP",1,"2 miles (40 minute walk)","Oppose the building","All of the units","12 stories","Historically-designated building","48 units","Own",0,-0.15,1,NA
"452","R_1KkF1sFe4RnyeHP",1,"1/8 mile (2 minute walk)","No opinion","All of the units","2 stories","Empty building","48 units","Rent",0,-0.15,1,NA
"453","R_1KkF1sFe4RnyeHP",0,"1/2 mile (10 minute walk)","Oppose the building","All of the units","3 stories","Historically-designated building","24 units","Own",0,-0.15,1,NA
"454","R_1KkF1sFe4RnyeHP",0,"1/8 mile (2 minute walk)","No opinion","None of the units","6 stories","Open field","96 units","Own",0,-0.15,1,NA
"455","R_Z4zDnlPKzJVhakF",1,"1/2 mile (10 minute walk)","No opinion","Half of the units","6 stories","Historically-designated building","24 units","Rent",0,-0.1,1,1
"456","R_Z4zDnlPKzJVhakF",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","2 stories","Historically-designated building","24 units","Rent",0,-0.1,1,1
"457","R_Z4zDnlPKzJVhakF",0,"1/2 mile (10 minute walk)","Support the building","None of the units","6 stories","Empty building","48 units","Own",0,-0.1,1,1
"458","R_Z4zDnlPKzJVhakF",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","2 stories","Parking lot","12 units","Own",0,-0.1,1,1
"459","R_Z4zDnlPKzJVhakF",1,"1 mile (20 minute walk)","Oppose the building","Half of the units","12 stories","Empty building","48 units","Own",0,-0.1,1,1
"460","R_Z4zDnlPKzJVhakF",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","6 stories","Empty building","24 units","Rent",0,-0.1,1,1
"461","R_Z4zDnlPKzJVhakF",1,"2 miles (40 minute walk)","Support the building","None of the units","3 stories","Historically-designated building","12 units","Own",0,-0.1,1,1
"462","R_Z4zDnlPKzJVhakF",0,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","6 stories","Open field","24 units","Own",0,-0.1,1,1
"463","R_Z4zDnlPKzJVhakF",1,"2 miles (40 minute walk)","No opinion","All of the units","6 stories","Parking lot","12 units","Own",0,-0.1,1,1
"464","R_Z4zDnlPKzJVhakF",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","12 stories","Open field","24 units","Own",0,-0.1,1,1
"465","R_6ROoZr6Xty4XVTP",0,"2 miles (40 minute walk)","No opinion","None of the units","12 stories","Historically-designated building","12 units","Own",0,-0.15,0,1
"466","R_6ROoZr6Xty4XVTP",1,"1/8 mile (2 minute walk)","Oppose the building","Half of the units","3 stories","Parking lot","12 units","Rent",0,-0.15,0,1
"467","R_6ROoZr6Xty4XVTP",0,"1/2 mile (10 minute walk)","Support the building","Half of the units","3 stories","Empty building","12 units","Own",0,-0.15,0,1
"468","R_6ROoZr6Xty4XVTP",1,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","3 stories","Open field","48 units","Rent",0,-0.15,0,1
"469","R_6ROoZr6Xty4XVTP",0,"2 miles (40 minute walk)","Support the building","All of the units","3 stories","Empty building","24 units","Rent",0,-0.15,0,1
"470","R_6ROoZr6Xty4XVTP",1,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","3 stories","Open field","48 units","Own",0,-0.15,0,1
"471","R_6ROoZr6Xty4XVTP",0,"1/2 mile (10 minute walk)","No opinion","All of the units","3 stories","Empty building","24 units","Rent",0,-0.15,0,1
"472","R_6ROoZr6Xty4XVTP",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","12 stories","Empty building","96 units","Rent",0,-0.15,0,1
"473","R_6ROoZr6Xty4XVTP",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","6 stories","Parking lot","96 units","Rent",0,-0.15,0,1
"474","R_6ROoZr6Xty4XVTP",1,"1 mile (20 minute walk)","Support the building","One-quarter of the units","3 stories","Empty building","24 units","Rent",0,-0.15,0,1
"475","R_vJ25z9oP67ZpWOB",0,"2 miles (40 minute walk)","No opinion","All of the units","6 stories","Historically-designated building","12 units","Own",0,-0.15,1,1
"476","R_vJ25z9oP67ZpWOB",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","6 stories","Parking lot","12 units","Rent",0,-0.15,1,1
"477","R_vJ25z9oP67ZpWOB",0,"1/8 mile (2 minute walk)","Oppose the building","All of the units","12 stories","Open field","24 units","Rent",0,-0.15,1,1
"478","R_vJ25z9oP67ZpWOB",1,"2 miles (40 minute walk)","Oppose the building","None of the units","6 stories","Historically-designated building","24 units","Rent",0,-0.15,1,1
"479","R_vJ25z9oP67ZpWOB",1,"1/8 mile (2 minute walk)","Support the building","All of the units","3 stories","Historically-designated building","96 units","Own",0,-0.15,1,1
"480","R_vJ25z9oP67ZpWOB",1,"1/2 mile (10 minute walk)","No opinion","Half of the units","2 stories","Empty building","48 units","Own",0,-0.15,1,1
"481","R_vJ25z9oP67ZpWOB",0,"1 mile (20 minute walk)","Support the building","None of the units","12 stories","Empty building","12 units","Rent",0,-0.15,1,1
"482","R_vJ25z9oP67ZpWOB",1,"1/8 mile (2 minute walk)","Support the building","Half of the units","12 stories","Open field","96 units","Rent",0,-0.15,1,1
"483","R_vJ25z9oP67ZpWOB",0,"1 mile (20 minute walk)","Support the building","One-quarter of the units","2 stories","Historically-designated building","12 units","Rent",0,-0.15,1,1
"484","R_vJ25z9oP67ZpWOB",1,"1/8 mile (2 minute walk)","No opinion","One-quarter of the units","6 stories","Empty building","96 units","Rent",0,-0.15,1,1
"485","R_2OOcZxCCkKpcTvy",1,"2 miles (40 minute walk)","Support the building","All of the units","6 stories","Open field","48 units","Rent",0,-0.15,NA,NA
"486","R_2OOcZxCCkKpcTvy",0,"2 miles (40 minute walk)","No opinion","One-quarter of the units","12 stories","Parking lot","48 units","Rent",0,-0.15,NA,NA
"487","R_2OOcZxCCkKpcTvy",0,"2 miles (40 minute walk)","Oppose the building","None of the units","6 stories","Parking lot","96 units","Own",0,-0.15,NA,NA
"488","R_2OOcZxCCkKpcTvy",1,"1/2 mile (10 minute walk)","No opinion","None of the units","12 stories","Parking lot","96 units","Rent",0,-0.15,NA,NA
"489","R_2OOcZxCCkKpcTvy",0,"1 mile (20 minute walk)","No opinion","One-quarter of the units","12 stories","Open field","96 units","Own",0,-0.15,NA,NA
"490","R_2OOcZxCCkKpcTvy",0,"2 miles (40 minute walk)","Support the building","One-quarter of the units","12 stories","Historically-designated building","48 units","Own",0,-0.15,NA,NA
"491","R_2OOcZxCCkKpcTvy",1,"1/8 mile (2 minute walk)","No opinion","All of the units","6 stories","Parking lot","48 units","Rent",0,-0.15,NA,NA
"492","R_2OOcZxCCkKpcTvy",1,"1/2 mile (10 minute walk)","No opinion","Half of the units","2 stories","Parking lot","12 units","Rent",0,-0.15,NA,NA
"493","R_2OOcZxCCkKpcTvy",0,"1 mile (20 minute walk)","Oppose the building","One-quarter of the units","2 stories","Empty building","96 units","Own",0,-0.15,NA,NA
"494","R_2OOcZxCCkKpcTvy",1,"1/8 mile (2 minute walk)","No opinion","All of the units","6 stories","Open field","12 units","Own",0,-0.15,NA,NA
"495","R_3qIR273uKSFcoLd",1,"1/2 mile (10 minute walk)","Oppose the building","None of the units","3 stories","Parking lot","48 units","Rent",1,0.05,0,1
"496","R_3qIR273uKSFcoLd",0,"1/8 mile (2 minute walk)","No opinion","Half of the units","2 stories","Historically-designated building","48 units","Rent",1,0.05,0,1
"497","R_3qIR273uKSFcoLd",1,"1/8 mile (2 minute walk)","No opinion","None of the units","2 stories","Historically-designated building","12 units","Own",1,0.05,0,1
"498","R_3qIR273uKSFcoLd",1,"1/8 mile (2 minute walk)","No opinion","None of the units","12 stories","Open field","24 units","Rent",1,0.05,0,1
"499","R_3qIR273uKSFcoLd",0,"2 miles (40 minute walk)","No opinion","None of the units","2 stories","Parking lot","96 units","Rent",1,0.05,0,1
"500","R_3qIR273uKSFcoLd",1,"2 miles (40 minute walk)","Support the building","One-quarter of the units","6 stories","Parking lot","12 units","Own",1,0.05,0,1
"501","R_3qIR273uKSFcoLd",0,"1 mile (20 minute walk)","Support the building","All of the units","12 stories","Historically-designated building","12 units","Rent",1,0.05,0,1
"502","R_3qIR273uKSFcoLd",0,"1/2 mile (10 minute walk)","Support the building","Half of the units","12 stories","Empty building","24 units","Rent",1,0.05,0,1
"503","R_3qIR273uKSFcoLd",0,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","3 stories","Open field","24 units","Rent",1,0.05,0,1
"504","R_3qIR273uKSFcoLd",1,"1/2 mile (10 minute walk)","Support the building","None of the units","12 stories","Historically-designated building","96 units","Own",1,0.05,0,1
"505","R_3lAh9e0y96AhIHH",1,"2 miles (40 minute walk)","Oppose the building","All of the units","2 stories","Empty building","12 units","Rent",0,-0.1,NA,1
"506","R_3lAh9e0y96AhIHH",1,"1/2 mile (10 minute walk)","No opinion","None of the units","2 stories","Open field","48 units","Rent",0,-0.1,NA,1
"507","R_3lAh9e0y96AhIHH",0,"2 miles (40 minute walk)","Support the building","Half of the units","2 stories","Historically-designated building","12 units","Own",0,-0.1,NA,1
"508","R_3lAh9e0y96AhIHH",0,"1/2 mile (10 minute walk)","Support the building","None of the units","3 stories","Historically-designated building","48 units","Own",0,-0.1,NA,1
"509","R_3lAh9e0y96AhIHH",1,"2 miles (40 minute walk)","Oppose the building","One-quarter of the units","3 stories","Historically-designated building","12 units","Rent",0,-0.1,NA,1
"510","R_3lAh9e0y96AhIHH",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","3 stories","Historically-designated building","48 units","Own",0,-0.1,NA,1
"511","R_3lAh9e0y96AhIHH",1,"1/2 mile (10 minute walk)","No opinion","One-quarter of the units","6 stories","Parking lot","48 units","Own",0,-0.1,NA,1
"512","R_3lAh9e0y96AhIHH",0,"1/8 mile (2 minute walk)","Oppose the building","None of the units","12 stories","Historically-designated building","12 units","Rent",0,-0.1,NA,1
"513","R_3lAh9e0y96AhIHH",1,"1/2 mile (10 minute walk)","Oppose the building","Half of the units","2 stories","Empty building","48 units","Own",0,-0.1,NA,1
"514","R_3lAh9e0y96AhIHH",0,"1/2 mile (10 minute walk)","Oppose the building","None of the units","2 stories","Empty building","96 units","Rent",0,-0.1,NA,1
"515","R_z2Q1A2nQ6Zhr34R",0,"2 miles (40 minute walk)","No opinion","One-quarter of the units","2 stories","Parking lot","12 units","Rent",0,-0.15,1,1
"516","R_z2Q1A2nQ6Zhr34R",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","2 stories","Historically-designated building","96 units","Own",0,-0.15,1,1
"517","R_z2Q1A2nQ6Zhr34R",0,"1/8 mile (2 minute walk)","Support the building","All of the units","3 stories","Empty building","12 units","Own",0,-0.15,1,1
"518","R_z2Q1A2nQ6Zhr34R",1,"1/2 mile (10 minute walk)","Support the building","One-quarter of the units","2 stories","Historically-designated building","48 units","Own",0,-0.15,1,1
"519","R_z2Q1A2nQ6Zhr34R",1,"1/2 mile (10 minute walk)","Oppose the building","One-quarter of the units","3 stories","Parking lot","24 units","Rent",0,-0.15,1,1
"520","R_z2Q1A2nQ6Zhr34R",0,"1/8 mile (2 minute walk)","No opinion","All of the units","6 stories","Parking lot","12 units","Rent",0,-0.15,1,1
"521","R_z2Q1A2nQ6Zhr34R",1,"1 mile (20 minute walk)","No opinion","One-quarter of the units","6 stories","Empty building","12 units","Rent",0,-0.15,1,1
