"","ownership_dummy","version","prop_a_dummy","prop_d_dummy","prop_f_dummy","prop_i_dummy","ten_plan_dummy","prop_i_ban_dummy","ideology_num","income_num","white_dummy","age","gender_dummy"
"1394",0,4,1,1,1,1,0,1,6,4,0,61,1
"1395",0,4,0,0,0,1,0,1,2,2,0,59,1
"1396",0,4,1,1,1,1,0,1,5,4,0,24,0
"1397",0,5,1,0,1,0,NA,0,3,6,1,56,1
"1398",0,5,1,1,1,0,1,0,6,4,1,47,0
"1399",0,5,NA,NA,NA,NA,NA,NA,7,5,1,49,0
"1400",0,5,1,1,1,0,1,0,6,1,1,24,0
"1401",0,6,1,1,0,1,NA,0,6,3,1,27,0
"1402",0,6,1,0,1,1,NA,1,6,4,0,49,1
"1403",0,6,1,0,1,1,NA,1,6,4,0,NA,NA
"1404",0,6,0,1,0,0,1,0,4,5,0,34,1
"1405",0,6,1,1,1,1,NA,1,4,4,0,NA,0
"1406",0,1,0,0,1,0,1,0,4,2,0,42,1
"1407",0,1,1,0,1,1,1,1,6,4,0,72,0
"1408",0,2,NA,NA,NA,NA,NA,NA,7,1,0,45,0
"1409",0,3,1,1,0,1,0,1,4,1,0,58,0
"1410",0,3,1,1,0,NA,1,0,4,2,0,55,1
"1411",0,4,0,0,1,1,0,NA,6,2,0,61,0
"1412",0,4,1,1,0,1,0,1,6,3,0,28,0
"1413",0,5,1,1,1,1,1,1,3,2,0,47,0
"1414",0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"1415",0,5,1,0,1,0,NA,NA,NA,3,0,66,1
"1416",0,6,1,1,0,0,1,NA,6,3,0,60,0
"1417",0,1,1,0,0,NA,1,NA,6,4,1,38,0
"1418",0,1,1,0,1,1,1,1,5,5,1,31,0
"1419",0,2,1,1,0,0,1,0,6,1,1,25,0
"1420",0,2,0,1,1,1,0,1,6,4,1,18,1
"1421",0,2,1,0,1,1,NA,1,6,4,1,31,1
"1422",0,2,1,0,0,1,1,1,6,6,1,40,1
"1423",0,2,1,1,1,1,1,NA,7,6,1,41,0
"1424",0,3,1,0,0,0,0,1,5,2,1,63,0
"1425",0,3,0,0,1,1,0,0,6,1,1,71,1
"1426",0,3,1,1,0,0,NA,NA,NA,2,0,26,1
"1427",0,3,1,1,0,0,0,1,5,1,0,23,0
"1428",0,3,1,1,1,1,0,1,7,1,0,24,0
"1429",0,4,1,0,0,1,0,1,5,NA,0,NA,NA
"1430",0,4,0,0,1,1,NA,1,5,2,1,65,1
"1431",0,4,1,1,1,NA,1,0,7,2,1,35,0
"1432",0,4,1,1,1,0,NA,0,6,2,1,24,0
"1433",0,5,1,1,NA,1,1,1,7,4,0,42,0
"1434",0,5,0,0,1,1,1,1,5,NA,1,NA,0
"1435",0,5,1,1,0,1,1,1,5.5,3,0,35,0
"1436",0,5,1,1,1,1,NA,1,5,3,0,44,0
"1437",0,6,NA,NA,NA,NA,NA,NA,6,5,1,41,0
"1438",0,6,1,1,1,1,1,1,6,4,0,34,0
"1439",0,6,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA
"1440",0,1,1,1,0,1,1,1,5,4,1,34,1
"1441",0,1,1,1,1,1,1,1,6,4,1,49,1
"1442",0,1,1,1,1,1,1,1,6,4,0,40,0
"1443",0,1,1,1,0,0,1,1,6,4,1,26,1
"1444",0,1,1,1,1,1,1,1,7,5,0,32,1
"1445",0,1,1,1,0,1,NA,NA,6,4,0,46,0
"1446",0,2,1,1,0,0,1,0,6,5,1,37,1
"1447",0,2,1,1,1,1,NA,1,6,5,1,30,0
"1448",0,2,1,1,1,1,1,1,6,2,1,58,0
"1449",0,2,1,0,0,0,1,1,6,1,1,37,1
"1450",0,2,1,1,1,1,1,1,6,2,1,72,1
"1451",0,3,1,1,0,0,1,0,6,2,0,NA,1
"1452",0,3,1,1,1,1,0,NA,6,4,0,42,0
"1453",0,3,1,1,1,0,NA,0,5,1,1,45,1
"1454",0,3,1,1,1,1,0,1,7,2,1,26,0
"1455",0,3,1,1,1,0,1,0,2,2,0,74,1
"1456",0,3,1,1,1,0,0,0,6,3,0,NA,1
"1457",0,3,1,1,0,0,0,NA,6,4,0,41,0
"1458",0,3,1,1,1,0,1,0,4,5,1,46,0
"1459",0,3,1,1,1,1,NA,NA,5,3,0,38,0
"1460",0,4,1,1,1,1,0,0,4,2,1,34,1
"1461",0,4,1,1,0,1,0,1,6,2,1,39,0
"1462",0,4,1,1,0,0,1,0,5,2,1,33,0
"1463",0,4,1,1,0,0,0,0,5,5,1,28,1
"1464",0,4,1,1,0,0,0,0,5,4,1,24,1
"1465",0,4,1,1,1,1,0,1,4,4,1,31,0
"1466",0,4,1,1,1,1,0,1,7,4,0,32,1
"1467",0,4,1,1,0,1,0,1,6,2,1,70,0
"1468",0,4,1,0,1,NA,0,NA,NA,NA,0,NA,NA
"1469",0,5,1,1,0,1,NA,1,5,5,0,53,1
"1470",0,5,1,1,1,1,NA,NA,7,5,1,36,1
"1471",0,5,NA,0,0,NA,NA,NA,5,NA,0,24,0
"1472",0,5,0,0,0,NA,NA,0,NA,5,0,33,1
"1473",0,6,1,1,0,1,NA,NA,6,3,0,25,0
"1474",0,6,1,1,1,1,1,1,5,5,0,44,1
"1475",0,6,1,1,1,1,NA,1,6,2,1,53,0
"1476",0,6,0,0,0,1,NA,NA,6,4,1,38,0
"1477",0,1,1,1,0,0,0,0,5,3,1,35,1
"1478",0,1,1,1,1,1,1,1,5,3,1,30,1
"1479",0,2,1,1,1,1,1,1,7,4,1,44,0
"1480",0,2,1,1,0,0,NA,NA,6,3,1,45,0
"1481",0,2,NA,NA,NA,NA,NA,NA,7,5,0,74,1
"1482",0,3,1,1,1,0,0,NA,6,5,1,30,1
"1483",0,4,0,0,1,0,0,0,3,4,1,27,1
"1484",0,4,1,0,0,0,0,0,6,6,1,63,1
"1485",0,4,NA,NA,NA,NA,NA,NA,4,2,1,32,1
"1486",0,5,1,1,1,1,NA,1,7,4,0,32,1
"1487",0,5,0,0,1,0,0,NA,6,2,0,31,0
"1488",0,5,1,0,0,0,1,NA,4,5,0,46,0
"1489",0,6,1,1,1,1,1,1,7,6,1,31,0
"1490",0,6,1,1,0,1,0,1,4,5,0,52,0
"1491",0,6,1,1,1,0,1,0,6,5,1,29,1
"1492",0,2,1,1,0,0,1,0,6,6,1,35,1
"1493",0,4,0,1,0,0,0,0,5,4,1,54,1
"1494",0,4,1,1,1,1,NA,NA,3,2,0,70,NA
"1495",0,4,1,1,1,0,NA,0,5,6,1,30,1
"1496",0,5,1,1,1,1,1,1,5,2,0,23,1
"1497",0,6,1,1,1,1,1,NA,7,2,0,22,1
"1498",0,1,0,0,0,0,NA,0,6,2,1,31,1
"1499",0,1,1,1,0,0,1,0,6,4,1,30,1
"1500",0,1,1,1,1,1,1,1,5,3,0,32,0
"1501",0,1,1,1,1,1,1,1,7,1,1,22,1
"1502",0,1,1,1,0,1,1,NA,NA,2,0,52,NA
"1503",0,1,1,0,1,0,1,0,6,3,0,44,0
"1504",0,1,1,1,0,1,1,1,5,1,0,21,1
"1505",0,1,1,0,1,1,1,1,7,2,0,36,1
"1506",0,1,1,1,0,0,NA,0,4,6,1,33,0
